analysis_level,segment_type,segment_value,responses,feedback_responses,feedback_rate,spend_responses,spend_reporting_rate,average_spend,median_spend
Overall,All responses,All,9246,8584,0.9284014709063378,6687.0,0.7232316677482155,338.43077314191714,226.8
Segment,Seating,Floor/Pit,1948,1791,0.9194045174537988,1948.0,1.0,485.10380390143735,389.5
Segment,Seating,General,3871,3523,0.9101007491604237,3707.0,0.9576336863859468,239.51747774480714,178.5
Segment,Seating,Premium,868,800,0.9216589861751152,805.0,0.9274193548387096,462.47444720496895,336.4
Segment,Seating,Supporters Section,157,147,0.9363057324840764,144.0,0.9171974522292994,102.87812500000001,44.0
Segment,Seating,Unknown,2337,2258,0.9661959777492511,18.0,0.007702182284980745,327.2055555555556,329.45
Segment,Seating,VIP Floor/Pit,65,65,1.0,65.0,1.0,572.5692307692308,499.0
Segment,Membership,NO,565,530,0.9380530973451328,27.0,0.047787610619469026,534.8414814814815,182.7
Segment,Membership,UNKNOWN,7004,6436,0.9189034837235865,5504.0,0.7858366647629925,349.9709611191861,239.85
Segment,Membership,YES,1677,1618,0.9648181276088252,1156.0,0.6893261776982708,278.8976557093426,169.44
Feedback theme,Theme,Parking and transportation,9246,1568,0.16958684836686136,,,332.6683913452493,240.0
Feedback theme,Theme,Entry and wayfinding,9246,1183,0.12794722041964093,,,333.5103278688524,208.16000000000003
Feedback theme,Theme,Food and beverage,9246,1547,0.16731559593337658,,,337.16423625254583,229.53
Feedback theme,Theme,Queues and wait times,9246,1298,0.14038503136491456,,,323.6291843575419,199.5
Feedback theme,Theme,Restrooms,9246,673,0.072788232749297,,,382.7137104825291,291.0
Feedback theme,Theme,Staff and service,9246,1554,0.16807268007787152,,,370.04620046620045,259.88
Feedback theme,Theme,Affordability and value,9246,603,0.06521739130434782,,,330.86415617128466,199.9
Feedback theme,Theme,Fan atmosphere and connection,9246,467,0.050508327925589444,,,337.55353658536586,202.07
