survey_date,response_date,total_spend,spend_reported,seating_segment,member_segment,feedback,has_feedback,primary_theme,sentiment
11:36.0,31:56.0,,false,Unknown,NO,Cheaper beer,true,Food and beverage,neutral
07:20.0,45:22.0,426.75,true,General,UNKNOWN,"Just to improve the diversity of food, include more activities inside, improve the lightâ€™s system.",true,Food and beverage,
07:20.0,37:47.0,790.0,true,Floor/Pit,UNKNOWN,The floor area needs bathrooms without having to go up all the stairs. Access to bathrooms ON FLOOR LEVEL,true,Restrooms,neutral
17:31.0,14:18.0,,false,Unknown,UNKNOWN,One of my favorite things last season was waiting for players to make it around the stadium wave and on occasion take selfies or sign things for fans. It didn't matter if the team lost or won. I understand that the loss was painful but only Endo made the run around the stadium. I don't try to get autograph or selfies but I feel it's a tradition that very few other sports and teams have that it would be sad to see our players stop stop waving to kids that wait for them to do so.,true,Fan atmosphere and connection,positive
22:36.0,58:32.0,40.0,true,General,UNKNOWN,,false,Other / unclassified,
22:36.0,33:23.0,99.5,true,Floor/Pit,UNKNOWN,It took way too long to get in the GA pit entry. I was very disappointed in this experience and missed the beginning of the concert. Also the Uber lot rideshare situation was a mess and,true,Parking and transportation,negative
07:20.0,27:20.0,827.5,true,Premium,UNKNOWN,"Staff was extremely helpful, friendly and kind! This is the main reason I would go back to this stadium. Beautiful experience!",true,Staff and service,positive
22:36.0,34:35.0,119.0,true,General,UNKNOWN,more affordable onsite parking,true,Parking and transportation,positive
17:31.0,59:32.0,,false,Unknown,UNKNOWN,We were unable to pick up our season ticket holder gift because the line was too long and we wanted to watch the game!,true,Queues and wait times,negative
11:36.0,54:08.0,,false,Unknown,NO,"Great ambiance, very please with experience and crowd",true,Fan atmosphere and connection,positive
22:36.0,53:39.0,59.5,true,General,UNKNOWN,It was really hard to find the correct entrance.,true,Entry and wayfinding,negative
22:36.0,11:35.0,99.5,true,Floor/Pit,UNKNOWN,N/a,false,Other / unclassified,neutral
11:36.0,36:52.0,,false,Unknown,NO,"Provide all day access to the restrooms for Tailgating North End Supporters. Provide discounted parking prices for North End Supporters. Provide matchday (the entire duration of the match) discounted prices on concessions & merchandise (beverages, alcohol & food) for North End Supporters",true,Affordability and value,neutral
11:36.0,36:52.0,,false,Unknown,NO,Better/easier Mobile App (website) experience. Better/easier Ticket Scanning process/equipment.,true,Entry and wayfinding,positive
17:31.0,15:28.0,,false,Unknown,UNKNOWN,I just love all those that work for ACFC. Such a pisitive group. Smiles all around. Happy staff/employees happy fans. Keep it up!!!! It is like going to a distant relatives house for a family celebration. Love it.,true,Staff and service,positive
17:31.0,09:51.0,,false,Unknown,UNKNOWN,Unfortunately line for the emblem/patch was too long to wait. We wanted to see the match. We did not receive a patch. we wish ACFC will extend the give away.,true,Queues and wait times,negative
17:31.0,28:24.0,,false,Unknown,UNKNOWN,"I really appreciate the half time entertainment. Inside the club should only be soccer, especially when the game is being played.",true,Other / unclassified,positive
07:20.0,56:27.0,224.0,true,Floor/Pit,UNKNOWN,"Parking was chaotic, purchased prepaid and they made us go around multiple times.",true,Parking and transportation,negative
22:36.0,43:28.0,199.0,true,Floor/Pit,UNKNOWN,"The Checkin process for GA Pit was disorganized and lengthy, there was not enough signage or direction. The process to get a wristband was also extremely disorganized and not straightforward, workers did not pay attention to who was in line and blindly gave away wristbands to anyone who shoved a ticket in their face.",true,Entry and wayfinding,
22:36.0,01:07.0,278.0,true,General,UNKNOWN,"overall, the experience was good. more information in terms of seating location and how to get to assigned seats would have made it even better.",true,Other / unclassified,positive
17:31.0,51:52.0,,false,Unknown,UNKNOWN,Parking is extremely high it cost more to park my vehicle than my ticket to the game,true,Parking and transportation,negative
11:36.0,33:26.0,131.44,true,General,YES,"I have been a season-ticket holder for 5 years now, the cleanliness of the bathrooms was unacceptable.",true,Restrooms,
07:20.0,04:28.0,1350.0,true,Floor/Pit,UNKNOWN,It would be great if wheelchairs can come out from the venue get and drop of person to there parking area.,true,Parking and transportation,positive
07:20.0,04:28.0,1350.0,true,Floor/Pit,UNKNOWN,About ADA. How to get assistance for wheelchair or preson with disabled needs.,true,Other / unclassified,neutral
07:20.0,41:49.0,95.0,true,General,UNKNOWN,No,false,Other / unclassified,negative
07:20.0,16:22.0,580.0,true,General,UNKNOWN,:),true,Other / unclassified,positive
07:20.0,20:46.0,,false,General,UNKNOWN,"It took me 2hours to get out of the freeway to the stadium, traffic is horrible to enter to the stadium then the parking in the stadium was $60.00 dollars outrageous a hot dog combo $20.00 and It made me sick with a bacterial stomach infection for 3 days. Sanitation is bad. Love the performance and the show. Everything else needs improvement. Other stadium are good.",true,Parking and transportation,
07:20.0,13:52.0,208.0,true,General,UNKNOWN,Everything was GREAT!!!,true,Other / unclassified,positive
11:36.0,41:40.0,,false,Unknown,NO,"The parking was excessively expensive , 50$ is a price I am not willing to pay for parking.",true,Parking and transportation,
07:20.0,30:51.0,538.0,true,Floor/Pit,UNKNOWN,"Exit was caotic, even tho I waited a little bit",true,Other / unclassified,
17:31.0,02:29.0,,false,Unknown,UNKNOWN,Love the drumming! those people are amazing!!,true,Other / unclassified,positive
22:36.0,19:07.0,499.0,true,VIP Floor/Pit,UNKNOWN,Drinks were overpriced and watered down. My margaritas were mostly syrup for $18â€¦â€¦. Iâ€™ll never buy a drink there again.,true,Food and beverage,negative
26:02.0,18:48.0,359.0,true,Floor/Pit,UNKNOWN,"parking was a disaster. Traffic was not managed well, and people in the parking structure had no idea what they were doing. I've never had a parking experience this bad in LA. Also, food and drinks were overpriced and not very good compared to other local stadiums. The stadium itself was nice, but the experience was not.",true,Parking and transportation,negative
22:36.0,09:10.0,208.5,true,General,UNKNOWN,The wait time for drinks was incredibly long. Everything else was great.,true,Queues and wait times,positive
07:20.0,20:41.0,615.0,true,General,UNKNOWN,Shouldnâ€™t sell out already purchased parking spaces. Had to go elsewhere to spend $100 after we had already purchased our ticket online,true,Parking and transportation,negative
53:25.0,17:30.0,,false,Unknown,YES,Have more games start early instead of the late saturday games,true,Other / unclassified,neutral
33:13.0,58:19.0,117.45,true,General,YES,Get rid of Cherundolo,true,Other / unclassified,negative
22:36.0,00:42.0,345.0,true,Premium,UNKNOWN,The wrist bands and separate entrances was a nightmare to deal with. The staff were incredibly unhelpful.,true,Staff and service,negative
11:36.0,52:03.0,,false,Unknown,NO,Reduce parking. $50 for parking is very expensive,true,Parking and transportation,negative
11:36.0,52:03.0,,false,Unknown,NO,Reduce parking fees,true,Parking and transportation,neutral
17:31.0,53:12.0,,false,Unknown,UNKNOWN,"The clear bag season ticket holder handoff was a mess. I stood in line 3 times, pregame, halftime and after the match and each time the line was too long and moving too slowly. Ultimately didn't get my 4 clear bags. Seems there could have been a better system..",true,Queues and wait times,negative
07:20.0,08:21.0,164.0,true,General,UNKNOWN,The audio needs a lot of improvement,true,Other / unclassified,negative
07:20.0,08:21.0,164.0,true,General,UNKNOWN,,false,Other / unclassified,
07:20.0,23:15.0,190.0,true,General,UNKNOWN,I was a little disappointed that the show started at 8:30pm instead of 7 pm. We got there early and we were a bit tired towards the end,true,Other / unclassified,negative
07:20.0,23:15.0,190.0,true,General,UNKNOWN,No,false,Other / unclassified,neutral
22:36.0,16:41.0,99.0,true,General,UNKNOWN,"There were no security or ushers to be seen by the concert seating the entire duration of the concert. It was weird to know that I wasnâ€™t able to talk to anyone if there was a problem or if I had a question. Also, there was a problem in the bar line where a group of 10 people cut my line so the concert goers had to wait for security for 10 minutes to show up but at that point the people already got their drinks.",true,Queues and wait times,
22:36.0,58:09.0,199.0,true,Floor/Pit,UNKNOWN,No cell phone policy,true,Other / unclassified,neutral
26:02.0,01:45.0,359.0,true,Floor/Pit,UNKNOWN,I attended the Queen concert with no complaints. Sunday night I found the bass drum excessive and distracting.,true,Other / unclassified,neutral
17:31.0,24:00.0,,false,Unknown,UNKNOWN,You guys have to put some pressure on the metro and about the safety and cleanliness of the trains,true,Other / unclassified,negative
28:03.0,14:42.0,578.0,true,General,UNKNOWN,More photo ops :D,true,Other / unclassified,positive
00:18.0,56:23.0,159.9,true,General,UNKNOWN,Nope,false,Other / unclassified,negative
28:03.0,57:26.0,238.5,true,General,UNKNOWN,no,false,Other / unclassified,neutral
00:18.0,35:34.0,159.9,true,General,UNKNOWN,N/a,false,Other / unclassified,neutral
00:18.0,20:25.0,299.88,true,Floor/Pit,UNKNOWN,Using the restroom was horrible. Never experienced lines so long to use the mens restroom.,true,Queues and wait times,negative
00:18.0,07:00.0,119.9,true,General,UNKNOWN,Itâ€™s outdoor and you donâ€™t allow smokingâ€¦really!,true,Other / unclassified,negative
00:18.0,39:02.0,259.88,true,Floor/Pit,UNKNOWN,Entrance for the floor tickets was super confusing.  Sound quality was terrible. Should use all avails screens instead of just the small side screens.,true,Entry and wayfinding,negative
